date,open,high,low,close,volume,pct,Log_Return,sigma,dayofweek,daysLeft,strike,near_option,strategy_on,strike_real,is_strike
2022-01-14,375.07,380.35,374.86,380.01,80121200,0.006222528199968158,0.006203248210218904,0.18001351795330672,4,6,386.9495921995154,388.0,,395.0,0.0
2022-01-17,375.07,380.35,374.86,380.01,80121200,0.006222528199968158,0.0,0.17993873994888374,0,10,391.97006012474395,393.0,,394.0,
2022-01-18,374.04,376.22,369.77,370.55,75450900,-0.024894081734691098,-0.02520917976628285,0.180464111712375,1,9,391.342467028353,392.0,,393.0,
2022-01-19,372.15,374.69,366.21,366.48,81791500,-0.010983672918634446,-0.011044438818881175,0.1792198876961933,2,8,380.9904001585207,382.0,,392.0,
2022-01-20,369.79,373.87,361.17,361.72,88610700,-0.012988430473695689,-0.013073517706207282,0.17903882123618642,3,7,376.06273489647293,377.0,1.0,398.0,
2022-01-21,359.47,362.18,351.4,351.69,143388900,-0.027728629879464894,-0.028120326120432915,0.1812446679067488,4,6,370.45929835666385,371.0,,399.0,0.0
2022-01-24,345.91,353.98,334.15,353.3,198685800,0.004577895305524882,0.0045674486132530655,0.18093054473942677,0,10,362.83563293051463,364.0,,388.0,
2022-01-25,346.67,351.03,341.68,345.11,124398400,-0.023181432210585884,-0.023454347572885458,0.1824505867318028,1,9,363.8948700961849,365.0,,393.0,
2022-01-26,352.91,356.88,340.78,344.57,146559500,-0.0015647184955521753,-0.0015659439460275102,0.18234120253875793,2,8,354.94216168266144,356.0,,392.0,
2022-01-27,349.4,351.27,340.05,341.1,95255700,-0.010070522680442173,-0.010121573421586413,0.18262883931692367,3,7,353.738817168614,355.0,1.0,382.0,
2022-01-28,343.03,352.02,337.95,351.8,108167900,0.031369099970683045,0.03088714287885771,0.18519058707350766,4,6,349.5083789776946,351.0,,377.0,0.0
2022-01-31,353.2,363.65,351.52,363.05,94326400,0.031978396816372934,0.03147773352279796,0.18773898462049016,0,10,363.19573904049304,364.0,,371.0,
2022-02-01,364.43,366.19,359.14,365.52,74433000,0.006803470596336458,0.006780431428760173,0.18777674124279314,1,9,374.3532586502783,375.0,,364.0,
2022-02-02,369.76,370.1,364.29,368.49,78777100,0.0081254103742614,0.008092576964096702,0.1879368260353264,2,8,376.2420558758299,377.0,,365.0,
2022-02-03,358.53,361.93,352.46,353.55,95384800,-0.04054384108116904,-0.04138865616886282,0.19249625154276415,3,7,378.6003085039068,380.0,1.0,356.0,
2022-02-04,354.08,361.4,351.97,358.01,86318300,0.012614905953896027,0.012536000921226295,0.1928235801483093,4,6,362.7422370462862,364.0,,355.0,1.0
2022-02-07,358.62,361.05,353.84,355.13,58198100,-0.008044468031619179,-0.008076999346785725,0.19294856921020725,0,10,370.0928649482321,371.0,,351.0,
2022-02-08,353.96,360.24,352.8,359.12,64720900,0.011235322276349491,0.011172674848986167,0.19319981200209826,1,9,366.49834860884783,367.0,,364.0,
2022-02-09,363.76,366.81,362.12,366.73,55766400,0.02119068834929827,0.020969288001764962,0.19244649453545082,2,8,369.9631038048622,371.0,,375.0,
2022-02-10,359.52,366.49,356.54,358.43,112468500,-0.022632454394240997,-0.022892499520621317,0.1938342640649872,3,7,377.03682584536057,378.0,1.0,377.0,
2022-02-11,358.43,360.07,345.8,347.06,101569100,-0.03172167508300083,-0.032235707292462557,0.19640744994947948,4,6,367.8147326816783,369.0,,380.0,0.0
2022-02-14,346.49,350.98,343.89,347.49,80254400,0.0012389788509190591,0.0012382119500065284,0.19310066600343384,0,10,358.9947095636604,360.0,,364.0,
2022-02-15,352.91,356.37,351.82,356.13,55128800,0.024864024864024836,0.02455994512118791,0.1945692931433985,1,9,358.622686095767,360.0,,371.0,
2022-02-16,353.82,357.09,350.71,356.04,58947100,-0.00025271670457405193,-0.0002527486428214364,0.19235813664224746,2,8,366.9601930790912,368.0,,367.0,
2022-02-17,352.74,353.46,345.02,345.45,61801400,-0.029743849005729794,-0.030195169155926956,0.19407333107328734,3,7,366.0417287541984,367.0,1.0,371.0,
2022-02-18,346.41,346.81,339.14,341.51,80001500,-0.011405413229121475,-0.011470953775818702,0.19212721592438275,4,6,354.5061793271312,356.0,,378.0,0.0
2022-02-21,346.41,346.81,339.14,341.51,80001500,-0.011405413229121475,0.0,0.1913773335066193,0,10,352.9936715432313,354.0,,369.0,
2022-02-22,338.49,344.04,334.35,338.08,85967100,-0.010043629761939621,-0.010094407291238665,0.19111224504452667,1,9,352.3519243509704,353.0,,360.0,
2022-02-23,341.32,342.18,329.1,329.42,86215400,-0.02561523899668705,-0.02594902151321671,0.19070816368565766,2,8,348.17590320379344,349.0,,360.0,
2022-02-24,318.84,341.04,318.26,340.49,130614100,0.03360451702993128,0.033052224228148075,0.1896526503021778,3,7,338.59345904675837,340.0,1.0,368.0,
2022-02-25,341.31,345.98,337.39,345.77,78842100,0.015507063349877948,0.015388057553135763,0.19021966238686278,4,6,349.21024505311266,350.0,,367.0,0.0
2022-02-28,342.51,348.54,341.32,346.8,77515500,0.002978858778957205,0.0029744307705730374,0.18891022319753747,0,10,357.27957979951805,358.0,,356.0,
2022-03-01,345.75,348.08,338.9,341.49,67407000,-0.015311418685121092,-0.015429848901151805,0.1893787342911382,1,9,357.66573370059035,359.0,,354.0,
2022-03-02,343.08,348.59,340.24,347.22,70609000,0.016779407888957376,0.016640188808567595,0.18980251706711285,2,8,351.5938791568652,353.0,,353.0,
2022-03-03,349.93,350.04,340.35,342.26,71089400,-0.014284891423305246,-0.014387902664496842,0.19030154509307212,3,7,356.8425932080284,358.0,1.0,349.0,
2022-03-04,339.84,341.31,334.92,337.3,76936300,-0.014491906737567839,-0.014597940081701045,0.19084033945617457,4,6,351.05594975977857,352.0,,340.0,0.0
2022-03-07,337.29,338.48,324.65,324.86,89933800,-0.036881114734657605,-0.037578421776354856,0.19201140835195019,0,10,348.5648808192974,350.0,,350.0,
2022-03-08,324.05,333.21,319.94,323.35,116153900,-0.004648156128793879,-0.00465899239864788,0.1920419178435945,1,9,335.20804537263984,336.0,,358.0,
2022-03-09,331.75,336.38,329.09,334.99,64723400,0.03599814442554505,0.03536535274065357,0.1944962467992067,2,8,333.05369905491784,334.0,,359.0,
2022-03-10,330.82,332.51,326.71,331.27,69362700,-0.0111048090987792,-0.011166927796972334,0.19477506187388216,3,7,344.50647180632166,346.0,1.0,353.0,
2022-03-11,334.32,334.64,323.9,324.4,66228400,-0.020738370513478488,-0.020956430595025388,0.19516425170740767,4,6,339.98625287129613,341.0,,358.0,0.0
2022-03-14,323.13,326.59,317.45,318.17,79802600,-0.019204685573366076,-0.01939149110907907,0.19613234856926837,0,10,335.4836733879784,336.0,,352.0,
2022-03-15,320.88,328.95,319.23,328.15,76471000,0.0313668793412325,0.03088498978755294,0.19798796167690966,1,9,328.52596124314556,330.0,,350.0,
2022-03-16,332.17,340.44,328.4,340.32,105243000,0.03708669815633092,0.03641553053219528,0.20128121196822688,2,8,338.30732635122314,339.0,,336.0,
2022-03-17,338.37,344.5,337.04,344.44,67810000,0.012106252938410833,0.012033558376037312,0.20155063158183537,3,7,350.3300630491646,351.0,1.0,334.0,
2022-03-18,342.74,351.79,341.55,351.49,85446300,0.020468006038787623,0.0202613515159267,0.20198873614878604,4,6,353.82229651417396,355.0,,346.0,1.0
2022-03-21,350.2,352.48,345.58,350.08,73799100,-0.004011493925858534,-0.004019561550329473,0.20135339370812402,0,10,363.9265317368103,365.0,,341.0,
2022-03-22,350.59,357.85,350.2,356.96,63345900,0.019652650822669093,0.01946203089066068,0.2022627664335235,1,9,361.7829234353303,363.0,,336.0,
2022-03-23,354.01,357.66,351.77,351.83,70615500,-0.014371358135365275,-0.014475626291688824,0.2018651781178931,2,8,368.2513889152337,369.0,,330.0,
2022-03-24,353.8,359.7,351.59,359.65,53555300,0.02222664354944137,0.02198323192083158,0.2030300545343063,3,7,362.20907692669516,363.0,1.0,339.0,
